"","dsb.index","cduid","panel","mrktshr","change","year"
"138",70,3526,"Secondary",0.0184421256976462,0.00508722258953344,2017
"139",25,3528,"Elementary",0.662436989396836,0.0264350247777019,2017
"140",56,3528,"Elementary",0.213453850165131,-0.0116774515401635,2017
"141",70,3528,"Elementary",0.00634451590474535,-0.00149586962943851,2017
"142",25,3528,"Secondary",0.553746928746929,-0.05,2017
"143",56,3528,"Secondary",0.139281326781327,0.00245252071689217,2017
"144",25,3529,"Elementary",0.599330750264177,-0.0016172093711051,2017
"145",56,3529,"Elementary",0.2411647293648,0.00674589285896351,2017
"146",70,3529,"Elementary",0.0103909827404015,0.00266909340663993,2017
"147",25,3529,"Secondary",0.458625682147232,-0.00678248111807367,2017
"148",56,3529,"Secondary",0.260830827486357,-0.024577335778949,2017
"149",26,3530,"Elementary",0.685798632691113,0.0257381500718167,2017
"150",54,3530,"Elementary",0.244142324425109,0.00143914826286168,2017
"151",63,3530,"Elementary",0.00560907395898073,0.00116682169311303,2017
"152",70,3530,"Elementary",0.0164232442510876,0.00262342168903836,2017
"153",26,3530,"Secondary",0.575865425564276,-0.0183378876456468,2017
"154",54,3530,"Secondary",0.194104763643001,-0.0109251353584586,2017
"155",70,3530,"Secondary",0.0108292267445398,0.0035046866741555,2017
"156",10,3531,"Elementary",0.663824735592489,-0.0169306697098719,2017
"157",41,3531,"Elementary",0.173753507446579,0.000361441205946389,2017
"158",10,3531,"Secondary",0.64075286415712,-0.0234939597993233,2017
"159",41,3531,"Secondary",0.159779050736498,0.000976872878058338,2017
"160",13,3532,"Elementary",0.702488687782805,0.00742343692931013,2017
"161",43,3532,"Elementary",0.125339366515837,-0.00149866918827243,2017
"162",69,3532,"Elementary",0.0407239819004525,0.0150375019616157,2017
"163",13,3532,"Secondary",0.511316130892317,-0.0351015621284754,2017
"164",43,3532,"Secondary",0.0807265388496468,-0.0287953787771576,2017
"165",69,3532,"Secondary",0.0118206717601269,0.0053314650325411,2017
"166",13,3534,"Elementary",0.666264437166006,-0.0384158220996821,2017
"167",43,3534,"Elementary",0.107826236855715,0.000597295880039844,2017
"168",13,3534,"Secondary",0.574872665534805,-0.0237911007796763,2017
"169",43,3534,"Secondary",0.108828522920204,-0.00785886054778881,2017
"170",12,3536,"Elementary",0.53779548012815,-0.0101685796274639,2017
"171",44,3536,"Elementary",0.249112477270759,-0.0289257232600905,2017
"172",69,3536,"Elementary",0.0801801021733483,0.0170637029156295,2017
"173",12,3536,"Secondary",0.520495097251246,-0.0130738073423938,2017
"174",44,3536,"Secondary",0.185500723356374,-0.0108841638412345,2017
"175",69,3536,"Secondary",0.0401864651985211,0.011917913961772,2017
"176",11,3537,"Elementary",0.540040117265854,0.0283316128821904,2017
"177",42,3537,"Elementary",0.288315295258668,-0.0242668017626779,2017
"178",63,3537,"Elementary",0.00817775034716865,0.00298774813853116,2017
"179",69,3537,"Elementary",0.107258580025128,0.0131211403027441,2017
"180",11,3537,"Secondary",0.44151545829764,-0.013403175333792,2017
"181",42,3537,"Secondary",0.2667237754069,-0.0437878797756248,2017
"182",69,3537,"Secondary",0.0452456973755938,0.00844757393328329,2017
"183",12,3538,"Elementary",0.615149025173676,-0.00159478513568256,2017
"184",44,3538,"Elementary",0.24807649211922,-0.000160561085476602,2017
"185",63,3538,"Elementary",0.0129976843206095,0.00224096137037461,2017
"186",69,3538,"Elementary",0.0255471726301636,-0.00207455724179398,2017
"187",12,3538,"Secondary",0.504202877902835,-0.0142282302113478,2017
"188",44,3538,"Secondary",0.184071805100442,0.0161689055724578,2017
"189",63,3538,"Secondary",0.00484399487106425,0.0020343747317071,2017
"190",69,3538,"Secondary",0.0149593959253455,0.00248468250659971,2017
"191",13,3539,"Elementary",0.725502549664311,0.0354297239242424,2017
"192",43,3539,"Elementary",0.202398062648894,-0.0026939736257163,2017
"193",63,3539,"Elementary",0.0197869701325038,0.00462284914404939,2017
"194",69,3539,"Elementary",0.025417888996082,0.00614344330846828,2017
"195",13,3539,"Secondary",0.560596924932168,0.0143088154256673,2017
"196",43,3539,"Secondary",0.199314139282484,-0.0241852221479117,2017
"197",63,3539,"Secondary",0.00704703044920109,0.00334660146141578,2017
"198",69,3539,"Secondary",0.0077253542357552,0.00330448774592319,2017
"199",10,3540,"Elementary",0.60598277685451,0.0090986024241857,2017
"200",41,3540,"Elementary",0.237498111497205,0.0145286742344386,2017
"201",10,3540,"Secondary",0.540100621485647,-0.05,2017
"202",41,3540,"Secondary",0.162770050310743,0.0304102913863107,2017
"203",9,3541,"Elementary",0.692942130881558,-0.032589523655328,2017
"204",40,3541,"Elementary",0.19889129259059,8.89018373591566e-05,2017
"205",9,3541,"Secondary",0.452730475631239,-0.05,2017
"206",40,3541,"Secondary",0.19906048150323,0.0286816066467428,2017
"207",9,3542,"Elementary",0.709853428907671,-0.0181650128949545,2017
"208",40,3542,"Elementary",0.142077671980315,0.028105143175243,2017
"209",69,3542,"Elementary",0.0162619022146143,-0.000232838709205076,2017
"210",9,3542,"Secondary",0.53473184246982,-0.05,2017
"211",40,3542,"Secondary",0.161290322580645,0.05,2017
"212",69,3542,"Secondary",0.00336433801701959,0.00172687281315517,2017
"213",19,3543,"Elementary",0.683278108291287,0.00889726101527366,2017
"214",49,3543,"Elementary",0.26231267414715,0.00906525540042266,2017
"215",63,3543,"Elementary",0.0146660140070788,0.0030488209224184,2017
"216",70,3543,"Elementary",0.0233074779727389,0.000938682844824831,2017
"217",19,3543,"Secondary",0.514650481372959,-0.033841625991453,2017
"218",49,3543,"Secondary",0.226419701409237,-0.0130926135591312,2017
"219",63,3543,"Secondary",0.00990651597600112,0.00152251007955741,2017
"220",70,3543,"Secondary",0.0106390400446491,0.00151797868478176,2017
"221",4,3544,"Elementary",0.0153299682183586,-0.00505074070429111,2017
"222",17,3544,"Elementary",0.826696578799776,0.0291279482894568,2017
"223",49,3544,"Elementary",0.0981491867638811,-0.00236803236735991,2017
"224",17,3544,"Secondary",0.669293924466338,-0.00273004720350645,2017
"225",49,3544,"Secondary",0.0574712643678161,-0.0286088228018924,2017
"226",17,3546,"Elementary",0.963302752293578,-0.00182278145149839,2017
"227",17,3546,"Secondary",0.731927710843373,0.0348556387713014,2017
"228",30,3547,"Elementary",0.554088707379618,-0.0077675999380159,2017
"229",59,3547,"Elementary",0.333364991927059,0.023828926864661,2017
"230",64,3547,"Elementary",0.0235539937315984,0.00371528516211999,2017
"231",72,3547,"Elementary",0.0600246937031057,0.0106563715354585,2017
"232",30,3547,"Secondary",0.481085071046319,-0.05,2017
"233",59,3547,"Secondary",0.193762686842591,0.0176289614130908,2017
"234",64,3547,"Secondary",0.00719689979701052,0.00131545729584971,2017
"235",72,3547,"Secondary",0.0374607861229009,0.00449375315586794,2017
"236",1,3548,"Elementary",0.00240211386019697,-0.0029081499398136,2017
"237",4,3548,"Elementary",0.456761950516454,0.00372591121611038,2017
"238",33,3548,"Elementary",0.155296661061734,-0.0244705271278485,2017
"239",60,3548,"Elementary",0.00240211386019697,-0.000953975151984163,2017
"240",61,3548,"Elementary",0.0850348306509729,0.0106169776284943,2017
"241",66,3548,"Elementary",0.236127792457362,0.00265836912423495,2017
"242",4,3548,"Secondary",0.430008748906387,-0.05,2017
"243",33,3548,"Secondary",0.164041994750656,0.00413448852511367,2017
"244",61,3548,"Secondary",0.0384951881014873,0.00309853210717924,2017
"245",66,3548,"Secondary",0.175415573053368,-0.000678343702234657,2017
"246",4,3549,"Elementary",0.745951982132887,0.00722497577371028,2017
"247",33,3549,"Elementary",0.135678391959799,0.0122886644216276,2017
"248",4,3549,"Secondary",0.514143920595533,0.05,2017
"249",3,3551,"Elementary",0.471812080536913,-0.0027724870858199,2017
"250",3,3551,"Secondary",0.451351351351351,0.05,2017
"251",2,3552,"Elementary",0.0352805089647195,-0.049622322243177,2017
"252",3,3552,"Elementary",0.320994794679005,-0.0155869245539436,2017
"253",34,3552,"Elementary",0.221515326778485,0.0238548348990174,2017
"254",35,3552,"Elementary",0.0092539039907461,0.00308260597335049,2017
"255",62,3552,"Elementary",0.0543666859456333,0.00399754748975473,2017
"256",67,3552,"Elementary",0.280508964719491,0.0256083056574122,2017
"257",2,3552,"Secondary",0.0439158279963403,-0.00716884660128037,2017
"258",3,3552,"Secondary",0.294602012808783,-0.044096377674072,2017
"259",62,3552,"Secondary",0.0384263494967978,0.00483642647370473,2017
"260",67,3552,"Secondary",0.0924062214089661,0.0175286846699878,2017
"261",3,3553,"Elementary",0.442378048780488,0.00649101869595042,2017
"262",35,3553,"Elementary",0.243780487804878,-0.00419473583022156,2017
"263",62,3553,"Elementary",0.098109756097561,0.0161355780909291,2017
"264",67,3553,"Elementary",0.225121951219512,-0.00135354232614537,2017
"265",3,3553,"Secondary",0.404948068619442,-0.00261066478198785,2017
"266",35,3553,"Secondary",0.218578597269226,0.0174457158503387,2017
"267",62,3553,"Secondary",0.0484303886101062,-0.00208497957635494,2017
"268",67,3553,"Secondary",0.163262924495274,0.00224518840092877,2017
"269",1,3554,"Elementary",0.431927904731252,-0.0130481070152898,2017
"270",32,3554,"Elementary",0.233344061795945,0.0203114969352448,2017
"271",61,3554,"Elementary",0.0273575796588349,-0.014174830827656,2017
"272",65,3554,"Elementary",0.284196974573544,0.00142563284345804,2017
"273",1,3554,"Secondary",0.543293718166384,-0.05,2017
"274",65,3554,"Secondary",0.204867006225241,0.0180434768134758,2017
"275",1,3556,"Elementary",0.315789473684211,0.00524342979782089,2017
"276",32,3556,"Elementary",0.122882800954871,-0.00461793461369987,2017
"277",61,3556,"Elementary",0.103899056496533,0.036811893923869,2017
"278",65,3556,"Elementary",0.36876207798113,-0.0162290106797365,2017
"279",1,3556,"Secondary",0.280211314109619,-0.05,2017
"280",32,3556,"Secondary",0.0849658815760511,0.00709985947660355,2017
"281",61,3556,"Secondary",0.0592119744662118,0.023300372256267,2017
"282",65,3556,"Secondary",0.289676425269646,-0.00849346423311681,2017
"283",2,3557,"Elementary",0.555811595538759,0.0139709128848967,2017
"284",34,3557,"Elementary",0.276984053829846,-0.020930300725208,2017
"285",62,3557,"Elementary",0.01179832242603,0.00923485372568222,2017
"286",67,3557,"Elementary",0.0733708175868744,0.0011898225026335,2017
"287",2,3557,"Secondary",0.486344537815126,-0.0458547331447768,2017
"288",34,3557,"Secondary",0.170518207282913,-0.020112277393744,2017
"289",62,3557,"Secondary",0.00980392156862745,-0.00153670216567794,2017
"290",67,3557,"Secondary",0.0253851540616246,0.000138765510254324,2017
"291",7,3558,"Elementary",0.418234138124649,-0.0031043277866557,2017
"292",8,3558,"Elementary",0.0510948905109489,-0.00232491254984835,2017
"293",38,3558,"Elementary",0.374017405951713,0.00309416545146135,2017
"294",39,3558,"Elementary",0.0454098820887142,-0.00242529856133777,2017
"295",62,3558,"Elementary",0.00301796743402583,0.00107417672261908,2017
"296",68,3558,"Elementary",0.0425322852330152,0.00526077681339624,2017
"297",7,3558,"Secondary",0.326813471502591,-0.05,2017
"298",8,3558,"Secondary",0.0715025906735751,-0.00834724698876253,2017
"299",38,3558,"Secondary",0.277720207253886,0.0339093306305094,2017
"300",62,3558,"Secondary",0.00738341968911917,0.000585530078729561,2017
"301",68,3558,"Secondary",0.0154145077720207,0.00689178049929345,2017
"302",6,3559,"Elementary",0.638036809815951,0.05,2017
"303",36,3559,"Elementary",0.197633654688869,0.000146813069980462,2017
"304",6,3559,"Secondary",0.622687047465808,-0.05,2017
"305",5,3560,"Elementary",0.263193374422188,-0.0120142810666668,2017
"306",6,3560,"Elementary",0.00173343605546995,0.000253530516481903,2017
"307",36,3560,"Elementary",0.0761748844375963,0.000938916951600491,2017
"308",37,3560,"Elementary",0.0951463790446841,-0.0129300357286626,2017
"309",68,3560,"Elementary",0.00760785824345146,-0.000183937199370366,2017
"310",5,3560,"Secondary",0.336831683168317,-0.05,2017
"311",37,3560,"Secondary",0.0677227722772277,0.00499746586050098,2017
